                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97758,                 1.1143,                 1.1519,                0.80966,                0.69171,                0.75201,                0.54402,                0.97409,                 1.1432,                 1.1841,             0.00047542,             0.00047542,             0.00047542
                      2,                0.96801,                 0.8844,                 1.1484,                0.85873,                 0.7287,                0.80208,                0.60016,                0.94922,                 1.0213,                 1.1426,             0.00095152,             0.00095152,             0.00095152
                      3,                0.92588,                0.80208,                 1.1233,                0.89986,                0.75796,                0.84782,                0.65419,                0.88215,                0.87792,                 1.0974,              0.0014267,              0.0014267,              0.0014267
                      4,                0.88319,                0.74884,                 1.1033,                0.89536,                0.78413,                0.85999,                  0.668,                0.84364,                0.75666,                 1.0802,              0.0014259,              0.0014259,              0.0014259
                      5,                0.83022,                0.69004,                 1.0765,                 0.9269,                0.81171,                0.88184,                 0.6964,                0.80014,                0.70576,                 1.0392,              0.0014234,              0.0014234,              0.0014234
                      6,                0.79115,                0.63805,                 1.0472,                0.92901,                0.83786,                0.90427,                0.72354,                0.72705,                0.59775,                 1.0022,              0.0014203,              0.0014203,              0.0014203
                      7,                0.76074,                0.61212,                 1.0389,                0.93631,                0.84093,                0.91292,                0.74509,                 0.7098,                0.60956,                0.98844,              0.0014165,              0.0014165,              0.0014165
                      8,                0.73781,                0.58479,                 1.0286,                0.94569,                0.85953,                0.92024,                0.75614,                0.69082,                0.59725,                0.98869,               0.001412,               0.001412,               0.001412
                      9,                0.71853,                0.55761,                 1.0144,                0.94133,                0.86122,                0.92492,                0.76505,                0.65987,                0.55248,                0.97465,              0.0014068,              0.0014068,              0.0014068
                     10,                0.69547,                0.53397,                 1.0022,                0.93683,                  0.877,                 0.9231,                0.75895,                0.65294,                0.56437,                0.97161,              0.0014009,              0.0014009,              0.0014009
                     11,                0.68192,                0.52687,                0.99943,                0.94967,                0.87596,                0.93026,                0.78129,                0.63412,                0.52342,                0.95573,              0.0013944,              0.0013944,              0.0013944
                     12,                0.66527,                  0.501,                 0.9897,                0.95038,                0.87935,                0.93322,                0.78937,                0.60961,                0.51454,                0.94429,              0.0013872,              0.0013872,              0.0013872
                     13,                0.65341,                 0.4876,                0.98249,                0.96037,                0.87997,                0.93666,                0.79089,                0.60342,                0.48569,                0.94322,              0.0013793,              0.0013793,              0.0013793
                     14,                0.64543,                0.48583,                0.98005,                 0.9493,                0.88922,                0.93842,                0.80346,                0.59217,                0.46737,                0.92749,              0.0013708,              0.0013708,              0.0013708
                     15,                0.63316,                0.47032,                0.97483,                 0.9591,                0.89383,                0.94376,                0.80825,                0.58573,                0.45584,                0.92554,              0.0013617,              0.0013617,              0.0013617
